,,,,,,
Row Labels,Count of ActivityDate,,,ID,Count of ActivityDate,Users Categories
1503960366,31,,,1503960366,31,Active
1624580081,31,,,1624580081,31,Active
1644430081,30,,,1644430081,30,Active
1844505072,31,,,1844505072,31,Active
1927972279,31,,,1927972279,31,Active
2022484408,31,,,2022484408,31,Active
2026352035,31,,,2026352035,31,Active
2320127002,31,,,2320127002,31,Active
2347167796,18,,,2347167796,18,Moderate
2873212765,31,,,2873212765,31,Active
3372868164,20,,,3372868164,20,Moderate
3977333714,30,,,3977333714,30,Active
4020332650,31,,,4020332650,31,Active
4057192912,4,,,4057192912,4,Light
4319703577,31,,,4319703577,31,Active
4388161847,31,,,4388161847,31,Active
4445114986,31,,,4445114986,31,Active
4558609924,31,,,4558609924,31,Active
4702921684,31,,,4702921684,31,Active
5553957443,31,,,5553957443,31,Active
5577150313,30,,,5577150313,30,Active
6117666160,28,,,6117666160,28,Active
6290855005,29,,,6290855005,29,Active
6775888955,26,,,6775888955,26,Active
6962181067,31,,,6962181067,31,Active
7007744171,26,,,7007744171,26,Active
7086361926,31,,,7086361926,31,Active
8053475328,31,,,8053475328,31,Active
8253242879,19,,,8253242879,19,Moderate
8378563200,31,,,8378563200,31,Active
8583815059,31,,,8583815059,31,Active
8792009665,29,,,8792009665,29,Active
8877689391,31,,,8877689391,31,Active
Grand Total,940,,,,,
